filename,algorithm,score
pa_50_3,SCALE,0.518
pa_50_3,PFS,0.379
pa_50_3,PFS',0.522
pa_50_3,FTA,0.41
pa_50_3,VPSC,0.534
pa_50_3,PRISM,0.488
pa_50_3,GTREE,0.502
pa_50_3,RWordle-L,0.608
pa_50_4,initial,0.0
pa_50_4,SCALE,0.496
pa_50_4,PFS,0.34
pa_50_4,PFS',0.494
pa_50_4,FTA,0.507
pa_50_4,VPSC,0.506
pa_50_4,PRISM,0.511
pa_50_4,GTREE,0.493
pa_50_4,RWordle-L,0.635
pa_50_5,initial,0.0
pa_50_5,SCALE,0.507
pa_50_5,PFS,0.355
pa_50_5,PFS',0.517
pa_50_5,FTA,0.34
pa_50_5,VPSC,0.508
pa_50_5,PRISM,0.496
pa_50_5,GTREE,0.505
pa_50_5,RWordle-L,0.637
pa_50_6,initial,0.0
pa_50_6,SCALE,0.518
pa_50_6,PFS,0.379
pa_50_6,PFS',0.522
pa_50_6,FTA,0.41
pa_50_6,VPSC,0.534
pa_50_6,PRISM,0.488
pa_50_6,GTREE,0.502
pa_50_6,RWordle-L,0.608
pa_50_7,initial,0.0
pa_50_7,SCALE,0.496
pa_50_7,PFS,0.34
pa_50_7,PFS',0.494
pa_50_7,FTA,0.507
pa_50_7,VPSC,0.506
pa_50_7,PRISM,0.511
pa_50_7,GTREE,0.493
pa_50_7,RWordle-L,0.635
pa_50_8,initial,0.0
pa_50_8,SCALE,0.518
pa_50_8,PFS,0.354
pa_50_8,PFS',0.517
pa_50_8,FTA,0.408
pa_50_8,VPSC,0.484
pa_50_8,PRISM,0.486
pa_50_8,GTREE,0.501
pa_50_8,RWordle-L,0.624
pa_50_9,initial,0.0
pa_50_9,SCALE,0.518
pa_50_9,PFS,0.354
pa_50_9,PFS',0.517
pa_50_9,FTA,0.408
pa_50_9,VPSC,0.484
pa_50_9,PRISM,0.486
pa_50_9,GTREE,0.501
pa_50_9,RWordle-L,0.624
random_10_10,initial,0.0
random_10_10,SCALE,0.763
random_10_10,PFS,0.797
random_10_10,PFS',0.799
random_10_10,FTA,0.801
random_10_10,VPSC,0.808
random_10_10,PRISM,0.716
random_10_10,GTREE,0.697
random_10_10,RWordle-L,0.767
random_10_11,initial,0.0
random_10_11,SCALE,0.763
random_10_11,PFS,0.797
random_10_11,PFS',0.799
random_10_11,FTA,0.801
random_10_11,VPSC,0.808
random_10_11,PRISM,0.716
random_10_11,GTREE,0.697
random_10_11,RWordle-L,0.767
random_10_12,initial,0.0
random_10_12,SCALE,0.763
random_10_12,PFS,0.797
random_10_12,PFS',0.799
random_10_12,FTA,0.801
random_10_12,VPSC,0.808
random_10_12,PRISM,0.716
random_10_12,GTREE,0.697
random_10_12,RWordle-L,0.767
random_10_13,initial,0.0
